1066483,PRINCE RUPERT  ,BC, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2012
1066483,PRINCE RUPERT  ,BC, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2012
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1943,    -2.1,a,     3.1,a,     2.2,a,     6.1,a,     7.6,a,    11.0,a,    12.3,a,    13.6,a,    12.7,a,     9.7,a,     7.5,a,     4.5,a,     7.4,a,     1.1,a,     5.3,a,    12.3,a,    10.0,a
1944,     3.8,a,     3.0,a,     2.5,a,     6.4,a,     8.9,a,    12.4,a,    13.6,a,    13.6,a,    12.5,a,    10.8,a,     5.8,a,     2.6,a,     8.0,a,     3.8,a,     5.9,a,    13.2,a,     9.7,a
1945,     3.8,a,     2.5,a,     2.8,a,     4.6,a,    10.7,a,    10.9,a,    12.9,a,    13.5,a,    11.0,a,     8.2,a,     2.3,a,     1.5,a,     7.1,a,     3.0,a,     6.0,a,    12.4,a,     7.2,a
1946,     2.3,a,     2.2,a,     2.6,a,     4.4,a,    11.1,a,    12.7,a,    12.9,a,    14.4,a,    11.4,a,     6.4,a,     2.1,a,     1.0,a,     7.0,a,     2.0,a,     6.0,a,    13.3,a,     6.6,a
1947,    -1.1,a,     2.5,a,     4.4,a,     6.2,a,     9.4,a,    11.5,a,    13.4,a,    13.6,a,    11.7,a,     7.7,a,     4.4,a,     3.1,a,     7.2,a,      .8,a,     6.7,a,    12.8,a,     7.9,a
1948,     2.3,a,     -.6,a,     2.3,a,     3.5,a,     9.8,a,    12.9,a,    13.6,a,    12.9,a,    10.7,a,     6.8,a,     3.2,a,    -1.2,a,     6.4,a,     1.6,a,     5.2,a,    13.1,a,     6.9,a
1949,     -.7,a,    -1.1,a,     3.4,a,     4.3,a,     8.8,a,     9.6,a,    11.8,a,    13.0,a,    12.6,a,     7.7,a,     7.4,a,    -1.0,a,     6.3,a,    -1.0,a,     5.5,a,    11.5,a,     9.2,a
1950,    -8.3,a,     1.6,a,     2.5,a,     4.1,a,     6.7,a,    11.6,a, -9999.9,M,    13.9,a,    11.8,a,     6.4,a,     1.1,a,     3.2,a, -9999.9,M,    -2.6,a,     4.4,a, -9999.9,M,     6.4,a
1951,     -.2,a,      .7,a,     -.4,a,     4.9,a,     8.4,a,    11.9,a,    14.1,a,    14.3,a,    11.9,a,     6.4,a,     4.0,a,     -.3,a,     6.3,a,     1.2,a,     4.3,a,    13.4,a,     7.4,a
1952,     -.9,a,     1.1,a,     1.7,a,     4.1,a,     8.6,a,    10.0,a,    14.1,a,    14.3,a, -9999.9,M,    10.3,a,     4.3,a,     3.1,a, -9999.9,M,      .0,a,     4.8,a,    12.8,a, -9999.9,M
1953, -9999.9,M,     2.8,a,     2.9,a,     6.5,a,    10.2,a,    11.4,a, -9999.9,M,    14.4,a,    11.6,a,     9.0,a,     5.0,a,     3.4,a, -9999.9,M, -9999.9,M,     6.5,a, -9999.9,M,     8.5,a
1954,    -2.3,a,     1.3,a,     1.9,a,     2.5,a,     9.4,a,    11.1,a,    12.5,a,    14.8,a,    12.6,a,     8.0,a,     7.6,a,     2.2,a,     6.8,a,      .8,a,     4.6,a,    12.8,a,     9.4,a
1955,     2.8,a,     1.0,a,      .6,a,     4.3,a,     6.5,a,    10.5,a,    12.4,a,    12.1,a,    11.0,a,     6.0,a,     -.3,a,    -2.1,a,     5.4,a,     2.0,a,     3.8,a,    11.7,a,     5.6,a
1956,     -.3,a,     -.9,a,     1.4,a,     4.8,a,     9.2,a,     9.9,a,    13.4,a,    14.1,a,    10.6,a,     5.7,a,     4.0,a,     2.4,a,     6.2,a,    -1.1,a,     5.1,a,    12.5,a,     6.8,a
1957,    -2.6,a,     -.1,a,     3.1,a,     5.2,a,     9.5,a,    11.5,a,    12.6,a,    15.2,a,    13.9,a,     8.0,a,     5.3,a,     2.3,a,     7.0,a,     -.1,a,     5.9,a,    13.1,a,     9.1,a
1958,     4.5,a,     3.7,a,     3.8,a,     6.8,a,    10.2,a,    14.7,a,    15.2,a,    14.6,a,    11.1,a,     8.6,a,     2.9,a,     2.7,a,     8.2,a,     3.5,a,     6.9,a,    14.8,a,     7.5,a
1959,      .8,a,     1.2,a,     3.2,a,     5.3,a,     8.6,a,    11.5,a,    14.0,a,    12.6,a,    11.0,a,     8.6,a,     3.7,a,     3.6,a,     7.0,a,     1.6,a,     5.7,a,    12.7,a,     7.8,a
1960,     1.8,a,     2.8,a,     2.9,a,     6.7,a,     9.0,a,    10.6,a,    13.6,a,    13.2,a,    11.3,a,     9.1,a,     4.5,a,     4.2,a,     7.5,a,     2.7,a,     6.2,a,    12.5,a,     8.3,a
1961,     3.7,a,     3.1,a,     4.5,a,     5.7,a,     9.8,a,    11.8,a,    14.9,a,    14.9,a,    11.4,a,     6.9,a,     2.9,a,     1.7,a,     7.6,a,     3.7,a,     6.7,a,    13.9,a,     7.1,a
1962,     2.2,a,     1.3,a,     1.3,a,     5.1,a,     6.5,a,    10.4,a,    12.3, ,    13.1,a,    11.4,a,     8.8,a,     5.9,a,     4.4,a,     6.9,a,     1.7,a,     4.3,a,    11.9,a,     8.7,a
1963,     1.9,a,     6.4,a,     3.1,a,     5.9,a,     9.2,a,    10.5,a,    12.9,a,    14.1,a,    13.6,a,     9.1,a,     3.3,a,     3.4,a,     7.8,a,     4.2,a,     6.1,a,    12.5,a,     8.7,a
1964,     2.4,a,     3.8,a,     2.9,a,     4.8,a,     7.1,a,    11.3,a,    12.5,a,    12.7,a,    11.1,a,     8.5,a,     3.1,a,    -3.0,a,     6.4,a,     3.2,a,     4.9,a,    12.2,a,     7.6,a
1965,      .3,a,     2.2,a,     2.8,a,     5.7,a,     7.0,a,    10.0,a,    12.5,a,    13.2,a,    10.8,a,     9.1,a,     3.5,a,      .6,a,     6.5,a,     -.2,a,     5.2,a,    11.9,a,     7.8,a
1966,    -1.0,a,     3.2,a,     4.0,a,     4.8,a,     7.1,a,    10.6,a,    12.8, ,    12.7,a,    11.9,a,     7.0,a,     3.9,a,     3.2,a,     6.7,a,      .9,a,     5.3,a,    12.0,a,     7.6,a
1967,     1.7,a,     4.0,a,     1.3,a,     4.2,a,     8.3,a,    11.7,a,    12.7, ,    14.4,a,    13.0,a,     8.7,a,     4.8,a,     1.9,a,     7.2,a,     3.0,a,     4.6,a,    12.9,a,     8.8,a
1968,      .2,a,     2.7,a,     5.3,a,     4.8,a,     9.6,a,    10.8,a,    13.7,a,    13.3,a,    11.2,a,     7.6,a,     5.6,a,    -2.4,a,     6.9,a,     1.6,a,     6.6,a,    12.6,a,     8.1,a
1969,    -8.7,a,      .8,a,     3.3,a,     5.7,a,     9.7,a,    12.4,a,    12.3,a,    11.8,a,    11.6,a,     8.6,a,     6.8,a,     5.3,a,     6.6,a,    -3.4,a,     6.2,a,    12.2,a,     9.0,a
1970,     -.2,a,     5.6,a,     5.0,a,     4.9,a,     7.8,a,    10.9,a,    11.8,a,    12.0,a,    10.9,a,     8.4,a,     2.4,a,     -.7,a,     6.6,a,     3.6,a,     5.9,a,    11.6,a,     7.2,a
1971,    -1.0,a,     1.5,a,     2.2,a,     5.2,a,     7.2,a,    10.3,a,    13.0,a,    13.7,a,    11.1,a,     6.8,a,     4.9,a,    -1.7,a,     6.1,a,     -.1,a,     4.9,a,    12.3,a,     7.6,a
1972,    -3.7,a,     -.1,a,     3.5,a,     3.1,a,     8.6,a,    10.4,a,    12.9,a,    13.7,a,     9.7,a,     7.0,a,     5.8,a,      .3,a,     5.9,a,    -1.8,a,     5.1,a,    12.3,a,     7.5,a
1973,      .6,a,     2.3,a,     3.7,a,     5.7,a,     8.2,a,    10.3,a,    12.4,a,    12.0,a,    11.2,a,     7.0,a,    -1.2,a,     2.8,a,     6.3,a,     1.1,a,     5.9,a,    11.6,a,     5.7,a
1974,    -2.0,a,     2.6,a,     2.9,a,     6.1,a,     7.7,a,     9.9,a,    11.8,a,    13.6, ,    12.3,a,     9.0,a,     5.1,a,     4.7,a,     7.0,a,     1.1,a,     5.6,a,    11.8,a,     8.8,a
1975,      .8,a,    -1.4,a,     1.9,a,     4.7,a,     8.1,a,     9.5,a,    13.1,a,    11.9,a,    11.4,a,     7.6,a,     3.1,a,     3.3,a,     6.2,a,     1.4,a,     4.9,a,    11.5,a,     7.4,a
